Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[cultivar]	Sample Characteristic Ontology Term[cultivar]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[infect]	Sample Characteristic Ontology Term[infect]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[infect]	Factor Value Ontology Term[infect]	Factor Value[time]	Factor Value Ontology Term[time]	Analysed
SRR6039744	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		12 day		Yes
SRR6039745	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	0.5 day		Yes
SRR6039746	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	0.5 day		Yes
SRR6039747	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	0.5 day		Yes
SRR6039748	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	1 day		Yes
SRR6039749	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	1 day		Yes
SRR6039750	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	1 day		Yes
SRR6039751	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	2 day		Yes
SRR6039752	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	2 day		Yes
SRR6039753	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	2 day		Yes
