genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance
AT5G04120,456.567150497913,3.62660114073735,0.2462678650927,14.726245908585,4.373345833017e-49,9.87107887970268e-45,Significantly upregulated
AT2G28780,1964.39827966879,-3.63096445645579,0.329550865230883,-11.0179181411402,3.13219433458194e-28,3.53483791629245e-24,Significantly downregulated
AT1G62280,217.834524247056,-3.9015151538159,0.355876886340156,-10.9631035438664,5.7493243950769e-28,4.32560003070936e-24,Significantly downregulated
AT1G32450,5241.02715637136,-3.46831218149697,0.320104172387987,-10.8349483720354,2.35097988143645e-27,1.32659917259755e-23,Significantly downregulated
AT1G30530,708.295307266527,2.03368214722088,0.193899948469365,10.4883067957193,9.7764624098806e-26,4.4132906610683e-22,Significantly upregulated
AT1G15380,739.4576549979,-2.71485482378316,0.260161056357556,-10.4352852106042,1.71099161948073e-25,6.4364653072166e-22,Significantly downregulated
AT2G33380,1472.89159370065,2.02661154586642,0.196079638942604,10.3356552306772,4.86078720431001e-25,1.56732611412116e-21,Significantly upregulated
AT2G01530,1043.10200394304,-1.92433433647233,0.189281714446955,-10.1665094385628,2.79754797433655e-24,7.8929319160938e-21,Significantly downregulated
AT5G20250,8330.86597511404,-1.56785582935555,0.157876704974062,-9.93088771147799,3.05523314177405e-23,7.66218524922024e-20,Significantly downregulated
AT1G10370,474.819595674078,1.87010906514963,0.188710027214187,9.90996129223725,3.76792124508124e-23,8.50457504227287e-20,Significantly upregulated
AT5G63160,756.367142989724,-2.29863645334994,0.235044264804581,-9.7795896243674,1.37767996751373e-22,2.82687404970477e-19,Significantly downregulated
AT5G19890,1623.98205329363,-2.68376502388303,0.278670853753822,-9.63059102784344,5.9386907822373e-22,1.11701824704898e-18,Significantly downregulated
AT2G28670,1985.96975821343,-1.69036525355252,0.17950587562367,-9.41676837975119,4.65184883909828e-21,8.07668308825287e-18,Significantly downregulated
AT2G34810,233.430354984116,2.2574194455571,0.243521229175613,9.26990822606757,1.8630615706191e-20,3.00365447931741e-17,Significantly upregulated
AT3G02850,170.861663764964,-2.64383733819254,0.294594678029302,-8.97449117505638,2.84664457449114e-19,4.2834409793893e-16,Significantly downregulated
AT2G25900,1487.7108719176,-1.36795466235376,0.153309618318597,-8.92282348202688,4.54548894410538e-19,6.41226443483766e-16,Significantly downregulated
AT5G59780,1291.39673724199,-2.53271163994851,0.284751558184918,-8.89446103857231,5.87035005919734e-19,7.79409830506724e-16,Significantly downregulated
AT3G01260,518.454452556752,-2.41482489190684,0.273153223954651,-8.84055057797066,9.52480579213582e-19,1.1943577307461e-15,Significantly downregulated
AT4G08290,529.991442947328,-1.8579015054967,0.213459525453242,-8.70376480764582,3.21052036145562e-18,3.81392921465341e-15,Significantly downregulated
AT4G01430,208.943331801996,-2.94964864427284,0.340793089728867,-8.6552478121536,4.91841848126011e-18,5.5506811770261e-15,Significantly downregulated
AT5G56870,7107.11489826759,-1.39227477653174,0.163201319736355,-8.53102645726706,1.45054854221607e-17,1.55906338792186e-14,Significantly downregulated
AT5G62210,226.272816973927,3.62726051923491,0.431488215908012,8.40639532090536,4.22804343043928e-17,4.33778037583841e-14,Significantly upregulated
AT1G10070,353.211022317786,-2.47493705208906,0.295111209302258,-8.3864555939459,5.01018842786328e-17,4.91673752196965e-14,Significantly downregulated
AT2G47160,2622.97807949155,-1.50790283849349,0.181550423099289,-8.30569718732534,9.92350197976006e-17,9.33264013271518e-14,Significantly downregulated
AT5G43540,269.214044529857,-2.87385980366586,0.347472421161348,-8.27075655115488,1.33111609142434e-16,1.20178485198155e-13,Significantly downregulated
AT2G28671,2124.8660407794,-1.59715238641815,0.197783727172894,-8.07524668104768,6.73403691727867e-16,5.84592104845757e-13,Significantly downregulated
